Citation,Description,CVG,CommentsCVG,CET,CommentsCET,Venue,Count,Group,HtmlText
"Duque, R., Gómez-Pérez, D., Nieto-Reyes, A., & Bravo, C. (2015). Analyzing collaboration and interaction in learning environments to form learner groups. Computers in Human Behavior, 47, 42-49.","Proposes a method to analyze students interactions, which is then used to create working groups",3,"Makes the case for the use of a specific visualization, and it says to be inspired in the DD-plot. However, it does not makes a review of other approaches for an informed decision",4,"Presents a background of computer supported collaborative learning as input for the proposed work, but does not explicitly inform the design, or discuss findings using this literature",EDM,1,4,"<b> Citation: </b>Duque, R., Gómez-Pérez, D., Nieto-Reyes, A., & Bravo, C. (2015). Analyzing collaboration and interaction in learning environments to form learner groups. Computers in Human Behavior, 47, 42-49.</br></br><b> Description: </b>Proposes a method to analyze students interactions, which is then used to create working groups</br></br><b> CVG: </b>Makes the case for the use of a specific visualization, and it says to be inspired in the DD-plot. However, it does not makes a review of other approaches for an informed decision</br></br><b> CET: </b>Presents a background of computer supported collaborative learning as input for the proposed work, but does not explicitly inform the design, or discuss findings using this literature</br></br>"
"Xing, W., Wadholm, R., Petakovic, E., & Goggins, S. (2015). Group Learning Assessment: Developing a Theory-Informed Analytics. Educational Technology & Society, 18 (2), 110–128.",Proposes a learning analytics tool to understand students' interactions in group work,3,"Makes a case for the importance of using visualizations to understand large data sets, and mentions the authors' prior work on visualizations, but does not make a explicit connection to visualization background to inform their design",8,"Introduces computer supported collaborative learning, and group cognition to inform the development of the tool. Discusses the findings under the lens of these theories",LAK,1,9,"<b> Citation: </b>Xing, W., Wadholm, R., Petakovic, E., & Goggins, S. (2015). Group Learning Assessment: Developing a Theory-Informed Analytics. Educational Technology & Society, 18 (2), 110–128.</br></br><b> Description: </b>Proposes a learning analytics tool to understand students' interactions in group work</br></br><b> CVG: </b>Makes a case for the importance of using visualizations to understand large data sets, and mentions the authors' prior work on visualizations, but does not make a explicit connection to visualization background to inform their design</br></br><b> CET: </b>Introduces computer supported collaborative learning, and group cognition to inform the development of the tool. Discusses the findings under the lens of these theories</br></br>"
"Janssen, J., Erkens, G., Kanselaar, G., & Jaspers, J. (2007). Visualization of participation: Does it contribute to successful computer-supported collaborative learning?. Computers & Education, 49(4), 1037-1065.",This paper describes a visualization tool for students to explore their collaborations.,3,Brief mention to the effect of visualizing participation. Unclear connection with the design of the visualization,9,"Makes connection between the visualization of collaboration, motivation, and external fedback. However, only a brienf mention in the discussion is presented.",American Behavioral Scientist,1,1,"<b> Citation: </b>Janssen, J., Erkens, G., Kanselaar, G., & Jaspers, J. (2007). Visualization of participation: Does it contribute to successful computer-supported collaborative learning?. Computers & Education, 49(4), 1037-1065.</br></br><b> Description: </b>This paper describes a visualization tool for students to explore their collaborations.</br></br><b> CVG: </b>Brief mention to the effect of visualizing participation. Unclear connection with the design of the visualization</br></br><b> CET: </b>Makes connection between the visualization of collaboration, motivation, and external fedback. However, only a brienf mention in the discussion is presented.</br></br>"
"Jacovina, M. E., Snow, E. L., Allen, L. K., Roscoe, R. D., Weston, J. L., Dai, J., & McNamara, D. S. (2015). How to visualize success: Presenting complex data in a writing strategy tutor. In Proceedings of 8th international conference on educational data mining.",Visualization of students progresss in an intelligent tutoring system,4,Brief justification of the use of pie charts to inform design,3,Brief mention to intelligent tutoring systems,Journal of Learning Analytics,1,8,"<b> Citation: </b>Jacovina, M. E., Snow, E. L., Allen, L. K., Roscoe, R. D., Weston, J. L., Dai, J., & McNamara, D. S. (2015). How to visualize success: Presenting complex data in a writing strategy tutor. In Proceedings of 8th international conference on educational data mining.</br></br><b> Description: </b>Visualization of students progresss in an intelligent tutoring system</br></br><b> CVG: </b>Brief justification of the use of pie charts to inform design</br></br><b> CET: </b>Brief mention to intelligent tutoring systems</br></br>"
"Minovi?, M., Milovanovi?, M., Šoševi?, U., & González, M. Á. C. (2015). Visualisation of student learning model in serious games. Computers in Human Behavior, 47, 98-107.",Proposes a visualization tool for student learning model in an educational game,4,"Makes explicit the rationale for a circular graph to inform their design, but only connects it with one reference, and does not discuss findings using existing literature",5,"Integrates Anderson's Taxonomy model for the development of the tool, but only brief connection with it on the discussion section is presented. Moreover, although ""informs"" the visualization in the context of educational games, there are no references for this connection.",Computers in Human Behavior,2,0,"<b> Citation: </b>Minovi?, M., Milovanovi?, M., Šoševi?, U., & González, M. Á. C. (2015). Visualisation of student learning model in serious games. Computers in Human Behavior, 47, 98-107.</br></br><b> Description: </b>Proposes a visualization tool for student learning model in an educational game</br></br><b> CVG: </b>Makes explicit the rationale for a circular graph to inform their design, but only connects it with one reference, and does not discuss findings using existing literature</br></br><b> CET: </b>Integrates Anderson's Taxonomy model for the development of the tool, but only brief connection with it on the discussion section is presented. Moreover, although ""informs"" the visualization in the context of educational games, there are no references for this connection.</br></br></br></br><b> Citation: </b>Bull, S., Ginon, B., Boscolo, C., & Johnson, M. (2016, April). Introduction of learning visualisations and metacognitive support in a persuadable open learner model. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 30-39). ACM.</br></br><b> Description: </b>Presents visualizations for the open-learner model.</br></br><b> CVG: </b>Connects to prior work that suggests that these visualizations are"" beneficial in OLMs, to allow users to select the visualisation according to their reason for viewing the learner model and their individual preferences for viewing"". No discussion of the design, or the results</br></br><b> CET: </b>Describes the open learner model, but there is not explicit connection to the design (other than a citation). Brings the open-learner model back on the discussion.</br></br>"
"Hsiao, I. H., Pandhalkudi Govindarajan, S. K., & Lin, Y. L. (2016, April). Semantic visual analytics for today's programming courses. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 48-53). ACM.",Introduces a visualization tool for analysis of programming tests,5,"Makes a review of visual learning analytics, to inform the design of a semantic visual analytics tool. However, the connection to the actual design is not explicit, and there is no connection to the literature in the discussion",4,Introduces computer-supported collaborative learning and orchestration. No clear connection to the design and no discussion of results under the lens of literature,LAK,2,9,"<b> Citation: </b>Hsiao, I. H., Pandhalkudi Govindarajan, S. K., & Lin, Y. L. (2016, April). Semantic visual analytics for today's programming courses. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 48-53). ACM.</br></br><b> Description: </b>Introduces a visualization tool for analysis of programming tests</br></br><b> CVG: </b>Makes a review of visual learning analytics, to inform the design of a semantic visual analytics tool. However, the connection to the actual design is not explicit, and there is no connection to the literature in the discussion</br></br><b> CET: </b>Introduces computer-supported collaborative learning and orchestration. No clear connection to the design and no discussion of results under the lens of literature</br></br></br></br><b> Citation: </b>Davis, D., Chen, G., Hauff, C., & Houben, G. J. (2016). Gauging MOOC Learners' Adherence to the Designed Learning Path. In Proceedings of the 9th International Conference on Educational Data Mining (EDM). Raleigh, NC, USA.</br></br><b> Description: </b>Identifies learning pahts from students in a MOOC</br></br><b> CVG: </b>Brief introduction to visualization of Markov chains to inform the design</br></br><b> CET: </b>Provides background on learner modeling, but does not connect to the design of the visualization. There is not discussion of the findings under the existing literature</br></br>"
"Wang, M., Peng, J., Cheng, B., Zhou, H., & Liu, J.. (2011). Knowledge Visualization for Self-Regulated Learning. Educational Technology & Society, 14 (3), 28–42. ",This study proposes a knowledge visualization tool for students,5,"Describes knowledge maps literature to inform the design of the tool, but does not make a connection to this literature in the discussion.",6,"Connects with self-regulated learning and informs the design using this theory. However, this is not brought back on the discussion",EDM,1,4,"<b> Citation: </b>Wang, M., Peng, J., Cheng, B., Zhou, H., & Liu, J.. (2011). Knowledge Visualization for Self-Regulated Learning. Educational Technology & Society, 14 (3), 28–42. </br></br><b> Description: </b>This study proposes a knowledge visualization tool for students</br></br><b> CVG: </b>Describes knowledge maps literature to inform the design of the tool, but does not make a connection to this literature in the discussion.</br></br><b> CET: </b>Connects with self-regulated learning and informs the design using this theory. However, this is not brought back on the discussion</br></br>"
"Chen, Q., Chen, Y., Liu, D., Shi, C., Wu, Y., & Qu, H. (2016). Peakvizor: Visual analytics of peaks in video clickstreams from massive open online courses. IEEE transactions on visualization and computer graphics, 22(10), 2315-2330.","This study explores students' clickstream data of videos in the context of MOOCs. The study uses an algorithm to identify peaks of interactions from students, to make sense out of this.",6,"Describes relevant related work in Glyphs, visualization of clickstream data and say they are ""inspired"" by this work. However, there is no connection to these elements in the discussion",1,No clear connection with any learning theory.,LAK,1,9,"<b> Citation: </b>Chen, Q., Chen, Y., Liu, D., Shi, C., Wu, Y., & Qu, H. (2016). Peakvizor: Visual analytics of peaks in video clickstreams from massive open online courses. IEEE transactions on visualization and computer graphics, 22(10), 2315-2330.</br></br><b> Description: </b>This study explores students' clickstream data of videos in the context of MOOCs. The study uses an algorithm to identify peaks of interactions from students, to make sense out of this.</br></br><b> CVG: </b>Describes relevant related work in Glyphs, visualization of clickstream data and say they are ""inspired"" by this work. However, there is no connection to these elements in the discussion</br></br><b> CET: </b>No clear connection with any learning theory.</br></br>"
"Dyckhoff, A. L., Zielke, D., Bültmann, M., Chatti, M. A., & Schroeder, U. (2012). Design and implementation of a learning analytics toolkit for teachers. Educational Technology & Society, 15(3), 58-76.","Describes eLAT, a learning analytics dashboard, for teachers to explore how students use certain learning objects",6,Briefly describes how the design of the user interface is guided by existing literature in usability and interactivity (not very much in visualizaiton). Briefly connects them with the proposed visual representations in the discussion.,2,Briefly mentions connectvism and other learning theories as future work,EDM,1,4,"<b> Citation: </b>Dyckhoff, A. L., Zielke, D., Bültmann, M., Chatti, M. A., & Schroeder, U. (2012). Design and implementation of a learning analytics toolkit for teachers. Educational Technology & Society, 15(3), 58-76.</br></br><b> Description: </b>Describes eLAT, a learning analytics dashboard, for teachers to explore how students use certain learning objects</br></br><b> CVG: </b>Briefly describes how the design of the user interface is guided by existing literature in usability and interactivity (not very much in visualizaiton). Briefly connects them with the proposed visual representations in the discussion.</br></br><b> CET: </b>Briefly mentions connectvism and other learning theories as future work</br></br>"
"Atapattu, T., Falkner, K., & Tarmazdi, H. (2016). Topic-wise classification of MOOC discussions: A visual analytics approach. In Proceedings of the 9th International conference on Educational Data Mining (EDM), Raleigh, NC, USA.",Dashboard application to visualize discussion forums,6,Summarizes existing work on visualization of MOOC and forums data. Informs the visualization using literature in visual analytics. Does not discusses findings using visualization literature,6,"Uses existing literature to make the case for understanding students' discourse in MOOC forums in order to better understand ""learners' cognitive processes"". Briefly connects the discussion with existing literature (one reference)",Computers & Education,1,2,"<b> Citation: </b>Atapattu, T., Falkner, K., & Tarmazdi, H. (2016). Topic-wise classification of MOOC discussions: A visual analytics approach. In Proceedings of the 9th International conference on Educational Data Mining (EDM), Raleigh, NC, USA.</br></br><b> Description: </b>Dashboard application to visualize discussion forums</br></br><b> CVG: </b>Summarizes existing work on visualization of MOOC and forums data. Informs the visualization using literature in visual analytics. Does not discusses findings using visualization literature</br></br><b> CET: </b>Uses existing literature to make the case for understanding students' discourse in MOOC forums in order to better understand ""learners' cognitive processes"". Briefly connects the discussion with existing literature (one reference)</br></br>"
"Lockyer, L., Heathcote, E., & Dawson, S. (2013). Informing pedagogical action: Aligning learning analytics with learning design. American Behavioral Scientist, 57(10), 1439-1459.","This paper proposes a connection between learning design and learning analytics.  The paper then demonstrates this connection with the SNAPP visualization tool, a graph-based viz for interactions in discussion forum",6,"The paper presents a summary of visualizations and learning analytics tools in Table I, and discusses Social network diagrams in more detail to inform their design and interpretation of the visualizations",8,"The paper advocates for a strong connection between learning analytics and learning design ""any user interaction behavior must be analyzed in the specific education context such as the learning design 
and course modality. An understanding of the learning design context is imperative for establishing accurate predictive models alongside pedagogical recommendations. """,EDM,1,4,"<b> Citation: </b>Lockyer, L., Heathcote, E., & Dawson, S. (2013). Informing pedagogical action: Aligning learning analytics with learning design. American Behavioral Scientist, 57(10), 1439-1459.</br></br><b> Description: </b>This paper proposes a connection between learning design and learning analytics.  The paper then demonstrates this connection with the SNAPP visualization tool, a graph-based viz for interactions in discussion forum</br></br><b> CVG: </b>The paper presents a summary of visualizations and learning analytics tools in Table I, and discusses Social network diagrams in more detail to inform their design and interpretation of the visualizations</br></br><b> CET: </b>The paper advocates for a strong connection between learning analytics and learning design ""any user interaction behavior must be analyzed in the specific education context such as the learning design 
and course modality. An understanding of the learning design context is imperative for establishing accurate predictive models alongside pedagogical recommendations. ""</br></br>"
"Kim, M., & Lee, E. (2012). A Multidimensional Analysis Tool for Visualizing Online Interactions. Educational Technology & Society, 15(3), 89-102.",Proposes a visual analysis tool of online interactions,6,"Describes the affordances of visualizing social network analysis and briefly discusses the importance of visualizations ""to support a deep understanding of interactions""",10,"Informs the requirements of the tool using collaborative learning, and discusses the findings using existing literature",Computers & Education,1,2,"<b> Citation: </b>Kim, M., & Lee, E. (2012). A Multidimensional Analysis Tool for Visualizing Online Interactions. Educational Technology & Society, 15(3), 89-102.</br></br><b> Description: </b>Proposes a visual analysis tool of online interactions</br></br><b> CVG: </b>Describes the affordances of visualizing social network analysis and briefly discusses the importance of visualizations ""to support a deep understanding of interactions""</br></br><b> CET: </b>Informs the requirements of the tool using collaborative learning, and discusses the findings using existing literature</br></br>"
"Chen, Y., Chen, Q., Zhao, M., Boyer, S., Veeramachaneni, K., & Qu, H. (2016, October). DropoutSeer: Visualizing learning patterns in Massive Open Online Courses for dropout reasoning and prediction. In Visual Analytics Science and Technology (VAST), 2016 IEEE Conference on (pp. 111-120). IEEE.",Visual analytics system for understanding students' reasons for dropping out MOOCs,7,"Describes existing approaches for visualization of MOOC data, and time series data, and informs the design using this literature. Does not connect with this litearture in the discussion of results",2,"Summarizes existing work in dropout prediction, but mostly focused on computational methods (not educational theories). Does not connect with any educational theory in the discussion of results",Computers & Education,1,2,"<b> Citation: </b>Chen, Y., Chen, Q., Zhao, M., Boyer, S., Veeramachaneni, K., & Qu, H. (2016, October). DropoutSeer: Visualizing learning patterns in Massive Open Online Courses for dropout reasoning and prediction. In Visual Analytics Science and Technology (VAST), 2016 IEEE Conference on (pp. 111-120). IEEE.</br></br><b> Description: </b>Visual analytics system for understanding students' reasons for dropping out MOOCs</br></br><b> CVG: </b>Describes existing approaches for visualization of MOOC data, and time series data, and informs the design using this literature. Does not connect with this litearture in the discussion of results</br></br><b> CET: </b>Summarizes existing work in dropout prediction, but mostly focused on computational methods (not educational theories). Does not connect with any educational theory in the discussion of results</br></br>"
"Thompson, K., Ashe, D., Carvalho, L., Goodyear, P., Kelly, N., & Parisio, M. (2013). Processing and visualizing data in complex learning environments. American Behavioral Scientist, 57(10), 1401-1420.",This paper proposes how to use visual learning analytics using two case studies to demonstrate it.,7,"The paper reviews existing approaches to visualize this type of data and uses this background information to inform their design and interpretation. However, this connection with existing literature is not present on the discussion",3,"While this study uses an analytical framework that is informed by several areas listed in the paper, the connection to educational theories is limited and not explicit. ",IEEE Transactions on Visualization and Computer Graphics,3,6,"<b> Citation: </b>Thompson, K., Ashe, D., Carvalho, L., Goodyear, P., Kelly, N., & Parisio, M. (2013). Processing and visualizing data in complex learning environments. American Behavioral Scientist, 57(10), 1401-1420.</br></br><b> Description: </b>This paper proposes how to use visual learning analytics using two case studies to demonstrate it.</br></br><b> CVG: </b>The paper reviews existing approaches to visualize this type of data and uses this background information to inform their design and interpretation. However, this connection with existing literature is not present on the discussion</br></br><b> CET: </b>While this study uses an analytical framework that is informed by several areas listed in the paper, the connection to educational theories is limited and not explicit. </br></br></br></br><b> Citation: </b>Schwab, M., Strobelt, H., Tompkin, J., Fredericks, C., Huff, C., Higgins, D., ... & Pfister, H. (2017). booc. io: An Education System with Hierarchical Concept Maps and Dynamic Non-linear Learning Plans. IEEE Transactions on Visualization and Computer Graphics, 23(1), 571-580.</br></br><b> Description: </b>The purpose of this study is to create a visualization tool of content, that could help both instructors and students to visualize how the content of a given course should be learned</br></br><b> CVG: </b>The paper  analyzes existing approaches for knowledge visualization to inform the design, but there is no connection to these elements in the discussion</br></br><b> CET: </b>The paper mentions self-guided learning and personalized learning, but does not expand on the theory nor does it guide the research component using these as frameworks.</br></br></br></br><b> Citation: </b>Gómez-Aguilar, D. A., Hernández-García, Á., García-Peñalvo, F. J., & Therón, R. (2015). Tap into visual analysis of customization of grouping of activities in eLearning. Computers in Human Behavior, 47, 60-67.</br></br><b> Description: </b>This paper aims at identifying a relationship between students' behavior and performance using a learning analytics tool</br></br><b> CVG: </b>The paper summarizes existing visualization approaches to inform their design. However, there is no discussion of the results under the lens of the specific visualizations</br></br><b> CET: </b>Presents a background in learning analytics and the types of interactions that can take place, but does not connect these to an educational theory</br></br>"
"Schreurs, B., Teplovs, C., Ferguson, R., De Laat, M., & Buckingham Shum, S. (2013, April). Visualizing social learning ties by type and topic: rationale and concept demonstrator. In Proceedings of the Third International Conference on Learning Analytics and Knowledge (pp. 33-37). ACM.",Describes a tool called Network Awareness Tool to visualize informal learning networks,7,Describes network visualization concepts to inform the design of the tool,7,"Describes networked learning as the theory that guides their research. Discusses the output using this theory, but there are not explicit findings to discuss.",LAK,3,9,"<b> Citation: </b>Schreurs, B., Teplovs, C., Ferguson, R., De Laat, M., & Buckingham Shum, S. (2013, April). Visualizing social learning ties by type and topic: rationale and concept demonstrator. In Proceedings of the Third International Conference on Learning Analytics and Knowledge (pp. 33-37). ACM.</br></br><b> Description: </b>Describes a tool called Network Awareness Tool to visualize informal learning networks</br></br><b> CVG: </b>Describes network visualization concepts to inform the design of the tool</br></br><b> CET: </b>Describes networked learning as the theory that guides their research. Discusses the output using this theory, but there are not explicit findings to discuss.</br></br></br></br><b> Citation: </b>Kump, B., Seifert, C., Beham, G., Lindstaedt, S. N., & Ley, T. (2012, April). Seeing what the system thinks you know: visualizing evidence in an open learner model. In Proceedings of the 2nd International Conference on Learning Analytics and Knowledge (pp. 153-157). ACM.</br></br><b> Description: </b>Presents a tool that integrates the learner model and information visualization for the identification of  knowledge indicating events (KIE)</br></br><b> CVG: </b>Informs the design comparing results from previous studies in the visualization of tree structures. No discussion of the results under the lens of these findings</br></br><b> CET: </b>Introduces the concept of knowledge indicating events (KIE) as ""naturally ocurring user actions that are interpreted as evidences for a user's knowledge state, and informs the design on the structure of the open learner model and the KIE. No discussion of findings under existing literature</br></br></br></br><b> Citation: </b>Hillaire, G., Rappolt-Schlichtmann, G., & Ducharme, K. (2016). Prototyping Visual Learning Analytics Guided by an Educational Theory Informed Goal. Journal of Learning Analytics, 3(3), 115-142.</br></br><b> Description: </b>The paper proposes a methodology to develop visual learning analytics, and demonstrated it using a case study. The scores used for this paper correspond to the case study that explored the visualization of students' emotions.</br></br><b> CVG: </b>Connects with background on data visualization to inform their design of the tool. Does not discuss the results using this literature</br></br><b> CET: </b>Discusses the role of emotions in learning connecting with existing literature, and informs the visualization tool using this background. Does not discuss the findings under these theories</br></br>"
"Beheshitha, S. S., Hatala, M., Gaševi?, D., & Joksimovi?, S. (2016, April). The role of achievement goal orientations when studying effect of learning analytics visualizations. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 54-63). ACM.",Evaluates three visualization tools for online discussions,8,"Presents background in dashboards, and discusses the rationale for comparing individual to group performance. Discusses findings using this literature",6,"Discusses achievement goal orientation (AGO), and collaborative learning. Both elements are brought back in the discussion section. However, there is no clear connection to the actual visualizations.",Journal of Learning Analytics,1,8,"<b> Citation: </b>Beheshitha, S. S., Hatala, M., Gaševi?, D., & Joksimovi?, S. (2016, April). The role of achievement goal orientations when studying effect of learning analytics visualizations. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 54-63). ACM.</br></br><b> Description: </b>Evaluates three visualization tools for online discussions</br></br><b> CVG: </b>Presents background in dashboards, and discusses the rationale for comparing individual to group performance. Discusses findings using this literature</br></br><b> CET: </b>Discusses achievement goal orientation (AGO), and collaborative learning. Both elements are brought back in the discussion section. However, there is no clear connection to the actual visualizations.</br></br>"
"Fu, S., Zhao, J., Cui, W., & Qu, H. (2017). Visual Analysis of MOOC Forums with iForum. IEEE Transactions on Visualization and Computer Graphics, 23(1), 201-210.",This study proposes a visualization tool for discussion forums in MOOCs,9,Describes relevant related work in visualization of MOOC forums to demonstrate the gap in literature. Inform the design using visualization literatur. Brief discussion of findings with two references,1,"The paper does not make connection between the proposed work and the educational theories. Instead, just mentions that forums are an important interaction tool in MOOCs",EDM,1,4,"<b> Citation: </b>Fu, S., Zhao, J., Cui, W., & Qu, H. (2017). Visual Analysis of MOOC Forums with iForum. IEEE Transactions on Visualization and Computer Graphics, 23(1), 201-210.</br></br><b> Description: </b>This study proposes a visualization tool for discussion forums in MOOCs</br></br><b> CVG: </b>Describes relevant related work in visualization of MOOC forums to demonstrate the gap in literature. Inform the design using visualization literatur. Brief discussion of findings with two references</br></br><b> CET: </b>The paper does not make connection between the proposed work and the educational theories. Instead, just mentions that forums are an important interaction tool in MOOCs</br></br>"
